kind,verb,tense,person,form
single,acheter,présent,je,achète
table,préférer,présent,je,préfère
table,préférer,présent,tu,préfères
table,préférer,présent,il,préfère
table,préférer,présent,nous,préférons
table,préférer,présent,vous,préférez
table,préférer,présent,ils,préfèrent
table,payer,présent,je,paie
table,payer,présent,tu,paies
table,payer,présent,il,paie
table,payer,présent,nous,payons
table,payer,présent,vous,payez
table,payer,présent,ils,paient
table,appeler,présent,je,appelle
table,appeler,présent,tu,appelles
table,appeler,présent,il,appelle
table,appeler,présent,nous,appelons
table,appeler,présent,vous,appelez
table,appeler,présent,ils,appellent
table,acheter,présent,je,achète
table,acheter,présent,tu,achètes
table,acheter,présent,il,achète
table,acheter,présent,nous,achetons
table,acheter,présent,vous,achetez
table,acheter,présent,ils,achètent
table,commencer,présent,je,commence
table,commencer,présent,tu,commences
table,commencer,présent,il,commence
table,commencer,présent,nous,commençons
table,commencer,présent,vous,commencez
table,commencer,présent,ils,commencent
table,manger,présent,je,mange
table,manger,présent,tu,manges
table,manger,présent,il,mange
table,manger,présent,nous,mangeons
table,manger,présent,vous,mangez
table,manger,présent,ils,mangent
single,appeler,présent,ils,appellent
single,appeler,présent,je,appelle
single,appeler,futur simple,je,appellerai
single,appeler,subjonctif,je,appelle
single,essayer,présent,je,essaie
single,essayer,présent,ils,essaient
single,essayer,futur simple,je,essaierai
single,essayer,subjonctif,il,essaie
single,commencer,présent,nous,commençons
single,manger,présent,nous,mangeons
single,jeter,présent,tu,jettes
single,boire,présent,nous,buvons
table,suivre,présent,je,suis
table,suivre,présent,tu,suis
table,suivre,présent,il,suit
table,suivre,présent,nous,suivons
table,suivre,présent,vous,suivez
table,suivre,présent,ils,suivent
table,croire,présent,je,crois
table,croire,présent,tu,crois
table,croire,présent,il,croit
table,croire,présent,nous,croyons
table,croire,présent,vous,croyez
table,croire,présent,ils,croient
table,prendre,présent,je,prends
table,prendre,présent,tu,prends
table,prendre,présent,il,prend
table,prendre,présent,nous,prenons
table,prendre,présent,vous,prenez
table,prendre,présent,ils,prennent
table,venir,présent,je,viens
table,venir,présent,tu,viens
table,venir,présent,il,vient
table,venir,présent,nous,venons
table,venir,présent,vous,venez
table,venir,présent,ils,viennent
table,devoir,présent,je,dois
table,devoir,présent,tu,dois
table,devoir,présent,il,doit
table,devoir,présent,nous,devons
table,devoir,présent,vous,devez
table,devoir,présent,ils,doivent
table,savoir,présent,je,sais
table,savoir,présent,tu,sais
table,savoir,présent,il,sait
table,savoir,présent,nous,savons
table,savoir,présent,vous,savez
table,savoir,présent,ils,savent
table,voir,présent,je,vois
table,voir,présent,tu,vois
table,voir,présent,il,voit
table,voir,présent,nous,voyons
