set,topic,item,value,accept
dr-genus-isme-1,genus-endung,organisme,le,un
dr-genus-isme-1,genus-endung,mécanisme,le,un
dr-genus-isme-1,genus-endung,communisme,le,un
dr-genus-isme-1,genus-endung,socialisme,le,un
dr-genus-isme-1,genus-endung,fascisme,le,un
dr-genus-isme-1,genus-endung,cynisme,le,un
dr-genus-eau-1,genus-endung,bureau,le,un
dr-genus-eau-1,genus-endung,bateau,le,un
dr-genus-eau-1,genus-endung,oiseau,le,un
dr-genus-eau-1,genus-endung,cadeau,le,un
dr-genus-eau-1,genus-endung,morceau,le,un
dr-genus-eau-1,genus-endung,chapeau,le,un
dr-genus-age-1,genus-endung,visage,le,un
dr-genus-age-1,genus-endung,mariage,le,un
dr-genus-age-1,genus-endung,village,le,un
dr-genus-age-1,genus-endung,passage,le,un
dr-genus-age-1,genus-endung,message,le,un
dr-genus-age-1,genus-endung,courage,le,un
dr-genus-ment-1,genus-endung,sentiment,le,un
dr-genus-ment-1,genus-endung,mouvement,le,un
dr-genus-ment-1,genus-endung,gouvernement,le,un
dr-genus-ment-1,genus-endung,appartement,le,un
dr-genus-ment-1,genus-endung,vêtement,le,un
dr-genus-ment-1,genus-endung,événement,le,un
dr-genus-ance-1,genus-endung,confiance,la,une
dr-genus-ance-1,genus-endung,vacance,la,une
dr-genus-ance-1,genus-endung,enfance,la,une
dr-genus-ance-1,genus-endung,importance,la,une
dr-genus-ance-1,genus-endung,connaissance,la,une
dr-genus-ance-1,genus-endung,naissance,la,une
dr-genus-ette-1,genus-endung,cigarette,la,une
dr-genus-ette-1,genus-endung,lunette,la,une
dr-genus-ette-1,genus-endung,toilette,la,une
dr-genus-ette-1,genus-endung,assiette,la,une
dr-genus-ette-1,genus-endung,serviette,la,une
dr-genus-ette-1,genus-endung,casquette,la,une
dr-genus-te-1,genus-endung,vérité,la,une
dr-genus-te-1,genus-endung,liberté,la,une
dr-genus-te-1,genus-endung,beauté,la,une
dr-genus-te-1,genus-endung,sécurité,la,une
dr-genus-te-1,genus-endung,santé,la,une
dr-genus-te-1,genus-endung,société,la,une
dr-genus-tion-1,genus-endung,question,la,une
dr-genus-tion-1,genus-endung,attention,la,une
dr-genus-tion-1,genus-endung,situation,la,une
dr-genus-tion-1,genus-endung,conversation,la,une
dr-genus-tion-1,genus-endung,direction,la,une
dr-genus-tion-1,genus-endung,condition,la,une
dr-plural-eau-1,plural,l'eau,eaux,les eaux
dr-plural-eau-1,plural,le bureau,bureaux,les bureaux
dr-plural-eau-1,plural,la peau,peaux,les peaux
dr-plural-eau-1,plural,le bateau,bateaux,les bateaux
dr-plural-eau-1,plural,l'oiseau,oiseaux,les oiseaux
dr-plural-eau-1,plural,le cadeau,cadeaux,les cadeaux
dr-plural-al-1,plural,le journal,journaux,les journaux
dr-plural-al-1,plural,le cheval,chevaux,les chevaux
dr-plural-al-1,plural,l'hôpital,hôpitaux,les hôpitaux
dr-plural-al-1,plural,le signal,signaux,les signaux
dr-plural-al-1,plural,le métal,métaux,les métaux
dr-plural-al-1,plural,le tribunal,tribunaux,les tribunaux
dr-feminin-personen-3,personen-feminin,un visiteur,visiteuse,une visiteuse
dr-feminin-personen-3,personen-feminin,un cuisinier,cuisinière,une cuisinière
dr-feminin-personen-3,personen-feminin,un chanteur,chanteuse,une chanteuse
dr-feminin-personen-3,personen-feminin,un serveur,serveuse,une serveuse
dr-feminin-personen-3,personen-feminin,un espion,espionne,une espionne
dr-feminin-personen-3,personen-feminin,un pêcheur,pêcheuse,une pêcheuse
dr-feminin-personen-2,personen-feminin,un chasseur,chasseuse,une chasseuse
dr-feminin-personen-2,personen-feminin,un lion,lionne,une lionne
dr-feminin-personen-2,personen-feminin,un portier,portière,une portière
dr-feminin-personen-2,personen-feminin,un champion,championne,une championne
dr-feminin-personen-2,personen-feminin,un baron,baronne,une baronne
dr-feminin-personen-2,personen-feminin,un danseur,danseuse,une danseuse
dr-feminin-personen-1,personen-feminin,un chien,chienne,une chienne
