card,entry,lemma,gender,rank
w-certes,certes,certes,,1500
w-fait,fait,fait,,1501
w-tombe,la tombe,tombe,f,1502
w-malade,un malade,malade,m,1503
w-social,social,social,,1504
w-etablir,établir,établir,,1505
w-alcool,un alcool,alcool,m,1506
w-surgir,surgir,surgir,,1507
w-fantome,le fantôme,fantôme,m,1508
w-planete,la planète,planète,f,1509
w-samedi,le samedi,samedi,m,1510
w-unite,une unité,unité,f,1511
w-subir,subir,subir,,1512
w-franchir,franchir,franchir,,1513
w-don,le don,don,m,1514
w-niveau,le niveau,niveau,m,1515
w-mode,la mode,mode,f,1516
w-mignon,mignon,mignon,,1517
w-lier,lier,lier,,1518
w-rat,le rat,rat,m,1519
w-brillant,brillant,brillant,,1520
w-provoquer,provoquer,provoquer,,1521
w-empire,un empire,empire,m,1522
w-environ,environ,environ,,1523
w-tendre,tendre,tendre,,1524
w-rayon,le rayon,rayon,m,1525
w-abri,un abri,abri,m,1526
w-pardon,le pardon,pardon,m,1527
w-adieu,un adieu,adieu,m,1528
w-cuisse,la cuisse,cuisse,f,1529
w-comite,le comité,comité,m,1530
w-bleu,un bleu,bleu,m,1531
w-talent,le talent,talent,m,1532
w-controler,contrôler,contrôler,,1533
w-sur,sur,sur,,1534
w-gouter,goûter,goûter,,1535
w-honnete,honnête,honnête,,1536
w-vaste,vaste,vaste,,1537
w-colline,la colline,colline,f,1538
w-dessus,le dessus,dessus,m,1539
w-rose,la rose,rose,f,1540
w-fournir,fournir,fournir,,1541
w-reserver,réserver,réserver,,1542
w-demi,demi,demi,,1543
w-vu,vu,vu,,1544
w-saison,la saison,saison,f,1545
w-inquiet,inquiet,inquiet,,1546
w-region,la région,région,f,1547
w-fesse,la fesse,fesse,f,1548
w-rigoler,rigoler,rigoler,,1549
w-brun,brun,brun,,1550
w-demon,le démon,démon,m,1551
w-uniforme,un uniforme,uniforme,m,1553
w-caractere,le caractère,caractère,m,1554
w-tapis,le tapis,tapis,m,1555
w-chaud,chaud,chaud,,1556
w-russe,russe,russe,,1557
w-paysan,le paysan,paysan,m,1558
w-nt,lent,lent,,1559
w-maitresse,la maîtresse,maîtresse,f,1560
w-millier,un millier,millier,m,1561
w-portrait,le portrait,portrait,m,1562
w-recouvrir,recouvrir,recouvrir,,1563
w-accomplir,accomplir,accomplir,,1564
w-commissaire,le commissaire,commissaire,m,1565
w-circonstance,la circonstance,circonstance,f,1566
w-veiller,veiller,veiller,,1567
w-limite,la limite,limite,f,1568
w-parfaire,parfaire,parfaire,,1569
w-suivant,suivant,suivant,,1570
w-rapprocher,rapprocher,rapprocher,,1571
w-surface,la surface,surface,f,1572
w-reel,réel,réel,,1573
w-nul,nul,nul,,1574
w-dechirer,déchirer,déchirer,,1576
w-sauvage,sauvage,sauvage,,1577
w-emmerder,emmerder,emmerder,,1578
w-enquete,une enquête,enquête,f,1579
w-arrive,arrivé,arrivé,,1580
w-combattre,combattre,combattre,,1581
w-affirmer,affirmer,affirmer,,1582
w-pire,le pire,pire,m,1583
w-joindre,joindre,joindre,,1584
w-mystere,le mystère,mystère,m,1585
w-conclure,conclure,conclure,,1586
w-style,le style,style,m,1587
w-particulier,particulier,particulier,,1588
w-soudain,soudain,soudain,,1589
w-precipiter,précipiter,précipiter,,1590
w-cave,la cave,cave,f,1591
w-savoir,le savoir,savoir,m,1592
w-fatigue,la fatigue,fatigue,f,1593
w-rassembler,rassembler,rassembler,,1594
w-priere,la prière,prière,f,1595
w-obscur,obscur,obscur,,1596
w-opinion,une opinion,opinion,f,1597
w-reduire,réduire,réduire,,1598
w-habituer,habituer,habituer,,1599
w-marre,marre,marre,,1600
w-prisonnier,le prisonnier,prisonnier,m,1601
w-explication,une explication,explication,f,1602
w-marque,la marque,marque,f,1603
w-pot,le pot,pot,m,1604
w-resoudre,résoudre,résoudre,,1605
w-assiette,une assiette,assiette,f,1606
w-exploser,exploser,exploser,,1607
w-ferme,fermé,fermé,,1608
w-rattraper,rattraper,rattraper,,1609
w-utile,utile,utile,,1610
w-tendresse,la tendresse,tendresse,f,1611
w-enerver,énerver,énerver,,1612
w-louer,louer,louer,,1613
w-silhouette,la silhouette,silhouette,f,1614
w-egal,égal,égal,,1615
w-territoire,le territoire,territoire,m,1616
w-paysage,le paysage,paysage,m,1617
w-vision,la vision,vision,f,1618
w-parcourir,parcourir,parcourir,,1619
w-superbe,superbe,superbe,,1620
w-sou,le sou,sou,m,1621
w-banc,le banc,banc,m,1622
w-souffrance,la souffrance,souffrance,f,1623
w-date,la date,date,f,1624
w-botte,la botte,botte,f,1625
w-aveugle,aveugle,aveugle,,1626
w-britannique,britannique,britannique,,1627
w-bouton,le bouton,bouton,m,1628
w-vain,vain,vain,,1629
w-parc,le parc,parc,m,1630
w-designer,désigner,désigner,,1631
w-flotter,flotter,flotter,,1632
w-etudiant,un étudiant,étudiant,m,1633
w-tueur,le tueur,tueur,m,1634
w-violent,violent,violent,,1635
w-chasseur,le chasseur,chasseur,m,1636
w-allure,une allure,allure,f,1637
w-riviere,la rivière,rivière,f,1638
w-plat,plat,plat,,1639
w-eternel,éternel,éternel,,1640
w-charme,le charme,charme,m,1641
w-sourd,sourd,sourd,,1642
w-agreable,agréable,agréable,,1643
w-imagination,une imagination,imagination,f,1644
w-urgence,une urgence,urgence,f,1645
w-serie,la série,série,f,1646
w-cercle,le cercle,cercle,m,1647
w-super,le super,super,m,1648
w-nourriture,la nourriture,nourriture,f,1649
w-vague,vague,vague,,1650
w-infirmier,un infirmier,infirmier,m,1651
w-disque,le disque,disque,m,1652
w-noter,noter,noter,,1653
w-bouffer,bouffer,bouffer,,1654
w-russe-2,un Russe,Russe,m,1655
w-assassin,un assassin,assassin,m,1656
w-choc,le choc,choc,m,1657
w-principal,principal,principal,,1658
w-programme,le programme,programme,m,1659
w-tache,la tâche,tâche,f,1660
w-cimetiere,le cimetière,cimetière,m,1661
w-boutique,la boutique,boutique,f,1662
w-matiere,la matière,matière,f,1663
w-maigre,maigre,maigre,,1664
w-vrai,le vrai,vrai,m,1665
w-plume,la plume,plume,f,1666
w-ouvrier,un ouvrier,ouvrier,m,1667
w-soupirer,soupirer,soupirer,,1668
w-coupe,la coupe,coupe,f,1669
w-horizon,un horizon,horizon,m,1670
w-envahir,envahir,envahir,,1671
w-frontiere,la frontière,frontière,f,1672
w-guerir,guérir,guérir,,1673
w-secretaire,une secrétaire,secrétaire,f,1674
w-examen,un examen,examen,m,1675
w-origine,une origine,origine,f,1676
w-loup,le loup,loup,m,1677
w-egard,un égard,égard,m,1678
w-barbe,la barbe,barbe,f,1679
w-au-dela,au-delà,au-delà,,1680
w-fiance,un fiancé,fiancé,m,1681
w-allee,une allée,allée,f,1682
w-menace,la menace,menace,f,1683
w-affreux,affreux,affreux,,1684
w-coupable,coupable,coupable,,1685
w-blessure,la blessure,blessure,f,1686
w-lien,le lien,lien,m,1687
w-lutter,lutter,lutter,,1688
w-charge,la charge,charge,f,1689
w-changement,le changement,changement,m,1690
w-imbecile,un imbécile,imbécile,m,1691
w-perte,la perte,perte,f,1692
w-principe,le principe,principe,m,1693
w-cracher,cracher,cracher,,1694
w-hausser,hausser,hausser,,1695
w-manche,la manche,manche,f,1696
w-participer,participer,participer,,1697
w-ecrivain,un écrivain,écrivain,m,1698
w-match,le match,match,m,1699
w-meuble,le meuble,meuble,m,1700
w-promenade,la promenade,promenade,f,1701
w-redresser,redresser,redresser,,1702
w-complet,complet,complet,,1703
w-mysterieux,mystérieux,mystérieux,,1704
w-voyager,voyager,voyager,,1705
w-contempler,contempler,contempler,,1706
w-vers,le vers,vers,m,1707
w-energie,une énergie,énergie,f,1708
w-carriere,la carrière,carrière,f,1709
w-reserve,la réserve,réserve,f,1710
w-apparemment,apparemment,apparemment,,1711
w-eveiller,éveiller,éveiller,,1712
w-drogue,la drogue,drogue,f,1713
